A,Verb,B,Count
semiconductor device,include,semiconductor substrate,63
semiconductor device,include,substrate,63
semiconductor device,include,gate structure,34
substrate processing apparatus,include,process chamber,21
semiconductor device,include,fin structure,21
semiconductor device,include,dielectric layer,17
semiconductor structure,include,substrate,17
semiconductor device,include,first,14
semiconductor device,form,semiconductor substrate,14
chemical mechanical polishing pad,polish,tungsten,13
semiconductor structure,include,semiconductor substrate,12
bias power applying unit,apply,phase adjuster,12
substrate processing apparatus,include,substrate holding unit,11
semiconductor device,form,dielectric layer,11
electrostatic chuck,include,ceramic dielectric substrate,11
substrate processing apparatus,include,substrate holder,11
semiconductor device,include,gate stack,11
semiconductor device,form,gate structure,11
plasma processing apparatus,include,processing chamber,10
hydroxy group,be,hydrogen atom,10
buried portion,say,epitaxial layer,10
semiconductor device,include,active pattern,9
gate electrode,dispose,gate dielectric layer,9
Semiconductor devices,form,semiconductor devices,9
sacrificial material,etch,conductive material,9
area,be,maintenance area,9
substrate processing method,include,substrate holding step,9
memory array,comprise,conductive tiers,9
nitride film,minimize,etch rate,9
interfacial layer,form,work function metal layer,8
embodiment,include,semiconductor substrate,8
semiconductor structure,dispose,trench contact,8
process chamber,provide,work piece support,8
doped glass layer,be,isolation portion,8
plating method,plat,preservative liquid,8
semiconductor device,include,process chamber,8
semiconductor device structure,include,fin structure,8
mixing manifold,be,processing chamber,8
insulation layer,form,dummy wiring,8
chemical solution,say,single wafer cleaning module,8
dielectric material,fill,contact material,7
semiconductor device,include,semiconductor layer,7
semiconductor device,provide,semiconductor substrate,7
semiconductor device structure,include,dielectric layer,7
semiconductor device,be,semiconductor substrate,7
mask layer,be,semiconductor substrate,6
first gate stack,dispose,dielectric gate,6
processing gas,contain,fluorocarbon gas,6
semiconductor device,include,first dipole layer,6
semiconductor device,include,semiconductor wafer,6
microelectronics package,include,module board,6
module board,thin,mold compound,6
first work function metal layer,deposit,conductive material,6
semiconductor wafer,be,light irradiation,6
sacrificial material,use,conductive material,6
LED chips,bond,chip retainer,6
heating unit,be,super,6
transformation chamber,be,oxide regions,6
semiconductor device,include,device isolation layer,6
semiconductor device,form,device isolation layer,6
device isolation layer,define,active regions,6
dielectric layer,be,semiconductor substrate,6
substrate processing apparatus,include,processing container,6
fill material,be,conformal etch stop layer,6
semiconductor device,include,metal layer,6
gate stack,include,gate dielectric layer,6
substrate structure,form,first oxide layer,6
substrate processing system,include,substrate processing apparatus,6
contact plugs,form,adjacent gate structures,6
semiconductor device,include,stack structure,6
semiconductor device,include,hard mask layer,6
fin structure,be,dielectric material,6
region,form,layer,6
integrated circuit structure,include,semiconductor substrate,6
gate stack,form,semiconductor fin,6
sacrificial gate structure,be,fin structure,6
sacrificial gate structure,form,fin structure,6
semiconductor structure,include,gate structure,6
semiconductor device,form,fin structure,6
heat treatment,peel,oxide layer,6
substrate processing,be,process chamber,6
semiconductor body,stack,gate layer,6
column control processes,be,design layout database,6
fabrication method,include,base substrate,6
isolation structure,be,fin,6
semiconductor device structure,include,gate stack,6
gate structure,form,fin structure,6
semiconductor device,form,isolation region,6
hard mask layer,be,etch,6
dielectric material,form,conductive material,6
superlattice,include,stacked base semiconductor monolayers,6
